stim_name,lyrics,vadersenti_score,X,emotion,participant_ID,onset_time,stim_ID,vocal,onset_seconds,liking,familiarity,older_younger,age,sex,self_other,happy_sad,MCI,Multiple.Voices.,stim_order
Tragic,Woulda did this on my own Coulda stayed my ass at home When your dick is tragic tragic Who was lying when they told you you was all that Now who was lying when they told ya And we had it oh,-0.9618,sub-058,negative,SAPE,541,2,Y,256.975,4,4,younger,18,Female,self,NA,,NA,10
Picture to Burn,that stupid old pickup truck you never let me drive You're a redneck heartbreak who's really bad at lying So watch me strike a match on all my wasted time As far as I'm concerned you're just another picture to burn,-0.9613,sub-042,negative,AZHA,1021,4,Y,484.975,4,4,younger,18,Female,self,NA,,NA,18
Doses and Mimosas,To all the bitch-ass hoes That hate me the most Oh yeah I hate you too To all the punk-ass fucks That just wanna talk shit I hate you too,-0.9462,sub-049,negative,GWAI,1201,2,Y,570.475,4,4,younger,18,Male,self,NA,,NA,21
Only,"where the rock is These hoes couldn't test me even if their name was pop quiz Bad bitches who I fuck with, mad bitches we don't fuck with Idon't fuck with them chickens unless they last name is cutlet Let it soak in like seasonin' And tell 'em bitches blow me",-0.9403,sub-062,negative,SSOH,121,6,Y,57.475,4,4,younger,19,NB,self,NA,,NA,3
On Sight,Yeezy season approaching Fuck whatever y'all been hearing Fuck what fuck whatever y'all been wearing A monster about to come alive again Soon as I pull up and park the Benz We get this bitch shaking like Parkinsons Take my number and lock it in Indian hair no moccasins It's too many hoes ,-0.926,sub-059,negative,TBOY,241,6,Y,114.475,4,4,younger,18,Male,self,NA,,NA,5
Killing Me Softly With His Song,Strumming my pain with his fingers one time one time Singing my life with his words two times two times Killing me softly with his song Killing me softly,-0.9201,sub-061,negative,JCLA,1201,4,Y,570.475,4,4,younger,19,Female,self,NA,,NA,21
Off The Grid,"First it go viral then they get digital Then they get critical no I'm not doin' no interview Mask on my face you can't see what I'm finna do Had to move away from people that's miserable Don't wanna link you I ain't finna sit with you Ain't finna talk to you, ain't finna get with you Don't get me mad just 'cause I don't wanna injure you She put my paintings inside of her living room Look at the problems and issues I'm livin' through They tryna drown me I rise to my pinnacle Walked through the block",-0.9097,sub-049,negative,GWAI,121,4,Y,57.475,4,4,younger,18,Male,self,NA,,NA,3
Isn't She Lovely,Isn't she lovely Isn't she wonderful Isn't she precious Less than one minute old I never thought through love we'd be,-0.9088,sub-039,negative,ELAR,961,5,Y,456.475,4,4,older,61,Male,self,NA,,NA,17
Dark Knight Dummo,Pull up in a drop top she drop dead I pulled up in a drop top she drop dead My diamonds dancing hopscotch they holding hands My diamonds dancing hopscotch they holding hands Yeah hold up I don't know ,-0.9042,sub-062,negative,SSOH,901,1,Y,427.975,4,4,younger,19,NB,self,NA,,NA,16
Command V,took me here Tried to find my place I just found my fears And I lost some friends Even lost some tears I need human touch I need someone near It doesn't have to be you At least not anymore You know that beggars can't choose But I'm only a beggar 'cause I want you desperately bad And I can justify whatever with the fact ,-0.8834,sub-050,negative,SCAM,901,1,Y,427.975,4,4,younger,18,Female,self,NA,,NA,16
Afterlife,to the dead light Of the afterglow I've gotta know Can we work it out We scream and shout ‘til we work it out Can we just work it out Scream and shout,-0.8658,sub-008,negative,LDIR,1381,2,Y,655.975,4,4,older,63,Female,self,NA,,NA,24
Chill Bill,Rob $tone two damn phones Babylons can't crack the code no Used to sip out styrofoam But figured I should stick to dro weed Backwoods overload Don't like to smoke them swishers ho yup If you hit my liquor store It's fifty cents,-0.8646,sub-063,negative,AWIL,241,1,Y,114.475,4,4,younger,19,Female,self,NA,,NA,5
Grindstone,No thanks to the treadmill No thanks to the grindstone There's plenty of dissent from These rungs below The clockwork of destruction Hanging low,-0.8629,sub-016,negative,TCIE,421,5,Y,199.975,4,4,older,60,Male,self,NA,,NA,8
Express Yourself,Or two before I'm through so don't try to sing this Some drop science while I'm dropping English Even if Yella makes it a-capella I still express yo I don't smoke weed or sess Cause it's known to give a brother brain damage And brain damage on the mic don't manage nothing But making a sucker and you equal,-0.8537,sub-067,negative,CNOR,421,2,Y,199.975,4,4,younger,18,Male,self,NA,,NA,8
iPhone,Backpedal on a peon yeah fire Got powers like Lil' Dion I'm Elon Musk hey Rollin' 'round in a Tesla yeah Can't fuck with them they extra skrrt I'm charged up I'm fired up and I'm rollin' 'roundheavy metal They wanna send me to the Heaven gates but I'm chillin' like a Devil devil,-0.8528,sub-058,negative,SAPE,1021,6,Y,484.975,4,4,younger,18,Female,self,NA,,NA,18
Black Magic Woman,Got a black magic woman Got a black magic woman I've got a black magic woman Got me so blind I can't see That she's a black magic woman She's trying to make a devil ,-0.8356,sub-003,negative,JSCH,181,4,Y,85.975,NA,NA,older,67,Male,other,NA,,NA,4
I'm Not In Love,I keep your picture Upon the wall It hides a nasty stain that's lying there So don't you ask me To give it,-0.8271,sub-045,negative,CZAL,601,1,Y,285.475,4,4,younger,18,Female,self,NA,,NA,11
Hey You!,Hey you with your earphones on in your bedroom And you're all alone Hey you Hey you on the catwalk With your high heels on But you're sad as fuck Hey you I'm I'm a joke,-0.8225,sub-058,negative,SAPE,1201,5,Y,570.475,4,4,younger,18,Female,self,NA,,NA,21
Vicious,Vicious You hit me with a flower You do it every hour Oh baby you're so vicious Vicious,-0.8186,sub-016,negative,TCIE,1261,6,Y,598.975,3,4,older,60,Male,self,NA,,NA,22
Life on Mars,She could spit in the eyes of fools As they ask her to focus on Sailors fighting in the dance hall Oh man look at those cavemen go It's the freakiest show,-0.8074,sub-006,negative,GHER,1,1,Y,0.475,3,3,older,66,Male,self,NA,,NA,1
Set Fire to Rain,But I set fire to the rain Watched it pour as I touched your face Well it burned while I cried 'Cause I heard it screaming out your name Your name,-0.8047,sub-042,negative,AZHA,1,2,Y,0.475,4,4,younger,18,Female,self,NA,,NA,1
Stay,Stay that's what I meant to say Or do something but what I never say is Stay this time I really meant to so bad this time 'Cause you can never really tell,-0.804,sub-006,negative,GHER,1081,4,Y,513.475,1,1,older,66,Male,self,NA,,NA,19
Stay,Stay that's what I meant to say Or do something but what I never say is Stay this time I really meant to so bad this time 'Cause you can never really tell,-0.804,sub-064,negative,STHO,961,6,Y,456.475,4,4,younger,21,Female,self,NA,,NA,17
Just That Girl,crazy she's a dime And it's almost like I could see her She's just that girl Something happens when you groove Earth beneath you starts to move It's so bad I'm looking at you 'Cause she's just that girl Crazy how you work that frame You and me we could change the game,-0.7955,sub-051,negative,KCHU,121,4,Y,57.475,4,4,younger,18,Female,self,NA,,NA,3
One,Did I disappoint you Or leave a bad taste in your mouth You act like you never had love And you want me to go without,-0.7887,sub-047,negative,TSTA,1,4,Y,0.475,4,4,older,62,Male,self,NA,Y,NA,1
Die For You,And I know that you're worth it I can't walk away oh Even though we're goin' through it And it makes you feel alone Just know that I would die for you Baby I would die for you yeah,-0.7717,sub-046,negative,APOP,601,3,Y,285.475,4,4,younger,18,Female,self,NA,,NA,11
Die For You,And I know that you're worth it I can't walk away oh Even though we're goin' through it And it makes you feel alone Just know that I would die for you Baby I would die for you yeah,-0.7717,sub-046,negative,APOP,601,3,Y,285.475,4,4,younger,18,Female,self,NA,,NA,11
Die For You,And I know that you're worth it I can't walk away oh Even though we're goin' through it And it makes you feel alone Just know that I would die for you Baby I would die for you yeah,-0.7717,sub-063,negative,AWIL,1261,2,Y,598.975,4,4,younger,19,Female,self,NA,,NA,22
Die For You,And I know that you're worth it I can't walk away oh Even though we're goin' through it And it makes you feel alone Just know that I would die for you Baby I would die for you yeah,-0.7717,sub-063,negative,AWIL,1261,2,Y,598.975,4,4,younger,19,Female,self,NA,,NA,22
