vocal_nonvocal - NLP (1)
stim_name,lyrics,,notes,"if two participants have the same clip, label the stim_name with 1 or 2",,,,,,
John Wayne Gacy Jr.,He put a cloth on their lips Quiet hands quiet kiss on the mouth,,,,,,,,,
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",,,,,,,,,
Sound of Silence,Hello darkness my old friend I've come to talk with you again Because a vision softly creeping Left its seeds while I was sleeping And the vision,,,,,,,,,
Reckoner,Dedicated to all hu All human beings,,,,,,,,,
Nessun Dorma,,,< different language,,,,,,,
Sultans of Swing,Well now you step inside but you don't see too many faces Coming in out of the rain they hear the jazz go down Competition in other places,,Jessica - song with lyrics but none in clip,,,,dropbox,,,
My Old School,"Well, I did not think the girl Could be so cruel And I'm never going back To my old school",,Should I Stay or Should I Go? - Two languages,,,,Music_MCI/MCI_Testing_Materials/fMRI_Battery/,,,
Comfortably Numb,There is no pain you are receding A distant ship smoke on the horizon You are only coming through in waves,,,,,,mus-bid,,,
Black Magic Woman,Got a black magic woman Got a black magic woman I've got a black magic woman Got me so blind I can't see That she's a black magic woman She's trying to make a devil ,,,,,,Shazam,,,
Hotel California,Welcome to the Hotel California Such a lovely place such a lovely place Such a lovely face Plenty of room at the Hotel California Any time of,,,,,,fMRI_Battery/mus-bid/,,,
He Called Me Baby,He called me Baby sweet baby All night long Yes he did Kiss my tears away When things went wrong,,,,,,canonical,,,for other-selected lyrics
Moon River,Two drifters off to see the world There's such a crazy world to see We're all,,,,,,,,,
Immigrant Song,We come from the land of the ice and snow From the midnight sun where the hot springs flow How soft your fields so green Can whisper tales of gore Of how we calmed,,,,,,,,,
Hey Jude,Hey Jude don't make it bad Take a sad song and make it better Remember to let her into your heart Then you,,,,,,,,,
That's How I Got to Memphis,If you tell me that she's not here I'll follow the trail of her tears That's how I got to Memphis That's how I got to Memphis,,,,,,,,,
Young at Heart,Don't you know that it's worth Every treasure on earth to be young at heart For as rich as you are It's much better by far to be young,,,,,,,,,
The Highway Man,casement His face burnt like a brand As the black cascade of perfume came tumbling over his breast And he kissed its waves in the moonlight Oh sweet waves in the moonlight Then he tugged at his rein in the moonlight and galloped away to the west,,,,,,,,,
Life on Mars,She could spit in the eyes of fools As they ask her to focus on Sailors fighting in the dance hall Oh man look at those cavemen go It's the freakiest show,,,,,,,,,
Eleanor Rigby,All the lonely people Where do they all belong Ah look at all the lonely people Ah look at all the lonely people,,,,,,,,,
Panic in Detroit,a gun and me alone I ran to the window looked for a plane or two Panic in Detroit he'd left me an autograph Let me collect dust I wish someone would phone,,,,,,,,,
Stay,Stay that's what I meant to say Or do something but what I never say is Stay this time I really meant to so bad this time 'Cause you can never really tell,,,,,,,,,
Long Distance Run Around,I still remember the dream there I still remember the time you said goodbye,,,,,,,,,
Michelle,I need to I need to I need to I need to make you see Oh what you mean to me Until I do I'm hoping you will know what I mean,,,,,,,,,
